"ID","Entry Title"
"1Y26","A-riboswitch-adenine complex"
"1Y27","G-riboswitch-guanine complex"
"2B57","Guanine Riboswitch C74U mutant bound to 2,6-diaminopurine"
"2CKY","Structure of the Arabidopsis thaliana thiamine pyrophosphate riboswitch with its regulatory ligand"
"2EES","Guanine riboswitch A21U, U75A mutant bound to hypoxanthine"
"2EET","Guanine Riboswitch A21G, U75C mutant bound to hypoxanthine"
"2EEU","Guanine riboswitch U22A, A52U mutant bound to hypoxanthine"
"2EEV","Guanine riboswitch U22C, A52G mutant bound to hypoxanthine"
"2EEW","Guanine Riboswitch U47C mutant bound to hypoxanthine"
"2G9C","Modified pyrimidines Specifically bind the purine riboswitch"
"2GDI","Crystal structure of thiamine pyrophosphate-specific riboswitch in complex with thiamine pyrophosphate"
"2GIS","Structure of the S-adenosylmethionine riboswitch mRNA regulatory element"
"2HOJ","Crystal structure of an E. coli thi-box riboswitch bound to thiamine pyrophosphate, manganese ions"
"2HOK","Crystal structure of an E. coli thi-box riboswitch bound to thiamine pyrophosphate, calcium ions"
"2HOL","Crystal structure of an E. coli thi-box riboswitch bound to thiamine pyrophosphate, barium ions"
"2HOM","Crystal structure of an E. coli thi-box riboswitch bound to thiamine monophosphate"
"2HOO","Crystal structure of an E. coli thi-box riboswitch bound to benfotiamine"
"2HOP","Crystal structure of an E. coli thi-box riboswitch bound to pyrithiamine"
"2KXM","Solution NMR Structure of the 27 nucleotide engineered neomycin sensing riboswitch RNA-ribostmycin complex"
"2KZL","Specifier domain and GA motif region of B. subtilis tyrS T box leader RNA"
"2L1V","Solution structure of a preQ1 riboswitch (Class I) aptamer bound to preQ1"
"2LI4","Solution structure of a shortened antiterminator hairpin from a Mg2+ riboswitch"
"2MIY","Solution NMR structure of a preQ1 Class II riboswitch from Streptococcus pneumoniae"
"2MXS","Solution NMR-structure of the neomycin sensing riboswitch RNA bound to paromomycin"
"2N0J","Solution NMR Structure of the 27 nucleotide engineered neomycin sensing riboswitch RNA-ribostamycin complex"
"2QBZ","Structure of the M-Box Riboswitch Aptamer Domain"
"2QWY","SAM-II riboswitch bound to S-adenosylmethionine"
"2VAZ","Model of the S15-mRNA complex fitted into the cryo-EM map of the 70S entrapment complex."
"2XNW","XPT-PBUX C74U RIBOSWITCH FROM B. SUBTILIS BOUND TO A TRIAZOLO- TRIAZOLE-DIAMINE LIGAND IDENTIFIED BY VIRTUAL SCREENING"
"2XNZ","xpt-pbuX C74U Riboswitch from B. subtilis bound to acetoguanamine identified by virtual screening"
"2XO0","xpt-pbuX C74U Riboswitch from B. subtilis bound to 24-diamino-1,3,5- triazine identified by virtual screening"
"2XO1","xpt-pbuX C74U Riboswitch from B. subtilis bound to N6-methyladenine"
"2YDH","Crystal structure of the SAM-I riboswitch A94G U34 G18U G19U variant in complex with SAM"
"2YGH","SAM-I riboswitch with a G2nA mutation in the Kink turn in complex with S-adenosylmethionine"
"2YIE","Crystal structure of a F. nucleatum FMN riboswitch bound to FMN"
"2YIF","Crystal structure of a F. nucleatum FMN riboswitch - Free state"
"3B4A","T. tengcongensis glmS ribozyme with G40A mutation, bound to glucosamine-6-phosphate"
"3B4B","T. tengcongensis glmS ribozyme with G40A mutation, bound to glucosamine-6-phosphate and a substrate RNA with a 2'5'-phosphodiester linkage"
"3B4C","T. tengcongensis glmS ribozyme bound to glucosamine-6-phosphate and a substrate RNA with a 2'5'-phosphodiester linkage"
"3D0U","Crystal Structure of Lysine Riboswitch Bound to Lysine"
"3D0X","Crystal Structure of the unbound lysine riboswitch"
"3D2G","Structural basis of thiamine pyrophosphate analogues binding to the eukaryotic riboswitch"
"3D2V","Structure of the eukaryotic TPP-specific riboswitch bound to the antibacterial compound pyrithiamine pyrophosphate"
"3D2X","Structure of the thiamine pyrophosphate-specific riboswitch bound to oxythiamine pyrophosphate"
"3DIG","CRYSTAL STRUCTURE OF THE THERMOTOGA MARITIMA LYSINE RIBOSWITCH BOUND TO S-(2-aminoethyl)-L-cysteine"
"3DIL","Crystal structure of the Thermotoga maritima lysine riboswitch bound to lysine"
"3DIM","Crystallization of the Thermotoga maritima lysine riboswitch bound to lysine, Cs+ Soak"
"3DIO","Crystallization of the Thermotoga maritima lysine riboswitch bound to lysine, IRIDIUM HEXAMINE SOAK"
"3DIQ","Crystallization of the Thermotoga maritima lysine riboswitch bound to homoarginine"
"3DIR","Crystallization of the Thermotoga maritima lysine riboswitch bound to N6-1-iminoethyl-L-Lysine"
"3DIS","Crystallization of the Thermotoga maritima lysine riboswitch in free form"
"3DIX","Crystallization of the Thermotoga maritima lysine riboswitch bound to lysine, K+ anomalous data"
"3DIY","Crystallization of the Thermotoga maritima lysine riboswitch bound to lysine, Mn2+ soak"
"3DIZ","Crystallization of the Thermotoga maritima lysine riboswitch bound to lysine in the Absence of Mg2+"
"3DJ0","Crystallization of the Thermotoga maritima lysine riboswitch bound to L-4-oxalysine"
"3DJ2","Crystallization of the Thermotoga maritima lysine riboswitch bound to lysine, Tl+ Soak"
"3DS7","Structure of an RNA-2'-deoxyguanosine complex"
"3E5C","Crystal Structure of the SMK box (SAM-III) Riboswitch with SAM"
"3E5E","Crystal Structures of the SMK box (SAM-III) Riboswitch with SAH"
"3E5F","Crystal Structures of the SMK box (SAM-III) Riboswitch with Se-SAM"
"3EGZ","Crystal structure of an in vitro evolved tetracycline aptamer and artificial riboswitch"
"3F2Q","Crystal structure of the FMN riboswitch bound to FMN"
"3F2T","Crystal structure of the FMN riboswitch bound to FMN, iridium hexamine soak."
