"ID","Entry Title"
"1AM0","AMP RNA APTAMER COMPLEX, NMR, 8 STRUCTURES"
"1DDY","MOLECULAR RECOGNITION BY THE VITAMIN B12 RNA APTAMER"
"1EHT","THEOPHYLLINE-BINDING RNA IN COMPLEX WITH THEOPHYLLINE, NMR, 10 STRUCTURES"
"1ET4","CRYSTAL STRUCTURE OF A VITAMIN B12 BINDING RNA APTAMER WITH LIGAND AT 2.3 A"
"1EXD","CRYSTAL STRUCTURE OF A TIGHT-BINDING GLUTAMINE TRNA BOUND TO GLUTAMINE AMINOACYL TRNA SYNTHETASE"
"1EXY","SOLUTION STRUCTURE OF HTLV-1 PEPTIDE BOUND TO ITS RNA APTAMER TARGET"
"1F1T","CRYSTAL STRUCTURE OF THE MALACHITE GREEN APTAMER COMPLEXED WITH TETRAMETHYL-ROSAMINE"
"1F27","CRYSTAL STRUCTURE OF A BIOTIN-BINDING RNA PSEUDOKNOT"
"1FMN","SOLUTION STRUCTURE OF FMN-RNA APTAMER COMPLEX, NMR, 5 STRUCTURES"
"1KOC","RNA APTAMER COMPLEXED WITH ARGININE, NMR"
"1KOD","RNA APTAMER COMPLEXED WITH CITRULLINE, NMR"
"1NBK","The structure of RNA aptamer for HIV Tat complexed with two argininamide molecules"
"1NEM","Saccharide-RNA recognition in the neomycin B / RNA aptamer complex"
"1NTA","2.9 A crystal structure of Streptomycin RNA-aptamer"
"1NTB","2.9 A crystal structure of Streptomycin RNA-aptamer complex"
"1O15","THEOPHYLLINE-BINDING RNA IN COMPLEX WITH THEOPHYLLINE, NMR, REGULARIZED MEAN STRUCTURE, REFINEMENT WITH TORSION ANGLE AND BASE-BASE POSITIONAL DATABASE POTENTIALS AND DIPOLAR COUPLINGS"
"1OOA","CRYSTAL STRUCTURE OF NF-kB(p50)2 COMPLEXED TO A HIGH-AFFINITY RNA APTAMER"
"1Q8N","Solution Structure of the Malachite Green RNA Binding Aptamer"
"1RAW","ATP BINDING RNA APTAMER IN COMPLEX WITH AMP, NMR, 10 STRUCTURES"
"1TOB","SACCHARIDE-RNA RECOGNITION IN AN AMINOGLYCOSIDE ANTIBIOTIC-RNA APTAMER COMPLEX, NMR, 7 STRUCTURES"
"1U1Y","Crystal structure of a complex between WT bacteriophage MS2 coat protein and an F5 aptamer RNA stemloop with 2aminopurine substituted at the-10 position"
"1ULL","RNA APTAMER COMPLEXED WITH HIV-1 REV PEPTIDE, NMR, 7 STRUCTURES"
"1XWP","Solution structure of AUCGCA loop"
"1XWU","Solution structure of ACAUAGA loop"
"2AU4","Class I GTP aptamer"
"2B57","Guanine Riboswitch C74U mutant bound to 2,6-diaminopurine"
"2B63","Complete RNA Polymerase II-RNA inhibitor complex"
"2EES","Guanine riboswitch A21U, U75A mutant bound to hypoxanthine"
"2EET","Guanine Riboswitch A21G, U75C mutant bound to hypoxanthine"
"2EEU","Guanine riboswitch U22A, A52U mutant bound to hypoxanthine"
"2EEV","Guanine riboswitch U22C, A52G mutant bound to hypoxanthine"
"2EEW","Guanine Riboswitch U47C mutant bound to hypoxanthine"
"2JLT","Crystal structure of an RNA kissing complex"
"2JWV","Structure of a high affinity anti-NFkB RNA aptamer"
"2L1V","Solution structure of a preQ1 riboswitch (Class I) aptamer bound to preQ1"
"2LUN","RNA Aptamer for B. anthracis Ribosomal Protein S8"
"2OOM","NMR structure of a kissing complex formed between the TAR RNA element of HIV-1 and a LNA/RNA aptamer"
"2PN9","NMR structure of a kissing complex formed between the TAR RNA element of HIV-1 and a LNA modified aptamer"
"2QBZ","Structure of the M-Box Riboswitch Aptamer Domain"
"2RN1","Liquid crystal solution structure of the kissing complex formed by the apical loop of the HIV TAR RNA and a high affinity RNA aptamer optimized by SELEX"
"2RQJ","Quadruplex structure of an RNA aptamer against bovine prion protein"
"2RRC","Solution Structure of RNA aptamer against AML1 Runt domain"
"2RSK","RNA aptamer against prion protein in complex with the partial binding peptide"
"2RU7","Refined structure of RNA aptamer in complex with the partial binding peptide of prion protein"
"2TOB","SOLUTION STRUCTURE OF THE TOBRAMYCIN-RNA APTAMER COMPLEX, NMR, 13 STRUCTURES"
"2XNZ","xpt-pbuX C74U Riboswitch from B. subtilis bound to acetoguanamine identified by virtual screening"
"2YIE","Crystal structure of a F. nucleatum FMN riboswitch bound to FMN"
"2YIF","Crystal structure of a F. nucleatum FMN riboswitch - Free state"
"3AGV","Crystal structure of a human IgG-aptamer complex"
"3AHU","Crystal structure of YmaH (Hfq) from Bacillus subtilis in complex with an RNA aptamer."
"3DD2","Crystal structure of an RNA aptamer bound to human thrombin"
"3EGZ","Crystal structure of an in vitro evolved tetracycline aptamer and artificial riboswitch"
"3FU2","Cocrystal structure of a class-I preQ1 riboswitch"
"3GCA","The structural basis for recognition of the preQ0 metabolite by an unusually small riboswitch aptamer domain"
"3HSB","Crystal structure of YmaH (Hfq) from Bacillus subtilis in complex with an RNA aptamer"
"3IQN","Free-state structural transitions of the SAM-I riboswitch"
"3IQP","SAM-I riboswitch from T. tencongensis variant A94G apo form"
"3IQR","SAM-I riboswitch from T. tencongensis variant A94G bound with SAM"
"3IVN","Structure of the U65C mutant A-riboswitch aptamer from the Bacillus subtilis pbuE operon"
"3K1V","Cocrystal structure of a mutant class-I preQ1 riboswitch"
"3Q50","Structural analysis of a class I PreQ1 riboswitch aptamer in the metabolite-bound state"
"3Q51","Structural analysis of a class I PreQ1 riboswitch aptamer in the metabolite-free state."
"3RKF","Crystal structure of guanine riboswitch C61U/G37A double mutant bound to thio-guanine"
"3SD3","The structure of the tetrahydrofolate riboswitch containing a U25C mutation"
"3UCU","The c-di-GMP-I riboswitch bound to pGpG"
"3UCZ","The c-di-GMP-I riboswitch bound to GpG"
"3UD3","The C92U mutant c-di-GMP-I riboswitch bound to pGpA"
"3UD4","The C92U mutant c-di-GMP-I riboswitch bound to GpA"
"3UZS","Structure of the C13.28 RNA Aptamer Bound to the G Protein-Coupled Receptor Kinase 2-Heterotrimeric G Protein Beta 1 and Gamma 2 Subunit Complex"
"3UZT","Structure of the C13.18 RNA Aptamer in Complex with G Protein-Coupled Receptor Kinase 2"
"3V7E","Crystal structure of YbxF bound to the SAM-I riboswitch aptamer"
"484D","SOLUTION STRUCTURE OF HIV-1 REV PEPTIDE-RNA APTAMER COMPLEX"
"4ERJ","Crystal structure of the lysine riboswitch bound to a 6-aminocaproic acid"
"4ERL","Crystal structure of the lysine riboswitch bound to a lysine-glycine dipeptide"
"4FE5","Crystal structure of the xpt-pbuX guanine riboswitch aptamer domain in complex with hypoxanthine"
"4FEJ","Crystal structure of the A24U mutant xpt-pbuX guanine riboswitch aptamer domain in complex with hypoxanthine"
"4FEL","Crystal structure of the U25A/A46G mutant of the xpt-pbuX guanine riboswitch aptamer domain in complex with hypoxanthine"
"4FEN","Crystal structure of the A24U/U25A/A46G mutant xpt-pbuX guanine riboswitch aptamer domain in complex with hypoxanthine"
"4FEO","Crystal structure of the AU25A/A46G/C74U mutant xpt-pbuX guanine riboswitch aptamer domain in complex with 2,6-diaminopurine"
"4FEP","Crystal structure of the A24U/U25A/A46G/C74U mutant xpt-pbuX guanine riboswitch aptamer domain in complex with 2,6-diaminopurine"
"4FRG","Crystal structure of the cobalamin riboswitch aptamer domain"
"4FRN","Crystal structure of the cobalamin riboswitch regulatory element"
"4KZD","Crystal structure of an RNA aptamer in complex with fluorophore and Fab"
"4KZE","Crystal structure of an RNA aptamer in complex with Fab"
"4L81","Structure of the SAM-I/IV riboswitch (env87(deltaU92, deltaG93))"
"4LVV","Structure of the THF riboswitch"
"4LX5","X-ray crystal structure of the M6"" riboswitch aptamer bound to pyrimido[4,5-d]pyrimidine-2,4-diamine (PPDA)"
